Alternativa;Economic Quality;Education;Enterprise Conditions;Governance;Health;Infrastructure and Market Access;Investment Environment;Living Conditions;Natural Environment;Personal Freedom;Safety and Security;Social Capital
Afghanistan;33.79;27.58;42.91;31.18;50.98;25.37;30.07;38.92;40.48;41.21;19.71;22.32
Albania;41.81;70.91;56.71;47.94;73.84;60.95;52.37;73.94;58.27;59.78;73.09;44.92
Algeria;37.83;61.87;44.44;39.64;72.47;48.77;37.95;76.62;44.89;39.56;75.23;47.04
Angola;31.44;27.70;33.34;33.81;50.29;31.62;22.79;42.35;50.50;40.18;61.39;44.11
Argentina;36.14;71.40;46.95;55.93;77.19;54.35;53.46;80.64;58.57;77.57;70.43;51.26
Armenia;48.44;68.98;62.10;52.90;74.47;58.91;59.87;77.65;53.67;60.54;74.18;51.47
Australia;66.74;85.69;74.00;85.60;80.19;73.71;77.51;92.95;66.76;85.43;86.53;70.03
Austria;66.81;82.53;76.97;83.99;79.65;79.43;77.74;92.32;73.07;85.99;90.82;67.59
Azerbaijan;47.28;62.74;64.99;36.86;73.38;59.26;59.36;79.34;44.52;35.37;64.60;51.44
Bahrain;49.16;68.60;66.36;41.16;75.36;73.28;67.89;86.30;46.85;30.34;65.76;64.66
Bangladesh;44.23;44.40;48.88;34.10;68.98;42.98;37.41;57.96;44.08;43.05;49.88;51.85
Belarus;58.20;80.73;53.08;41.07;75.33;59.37;51.22;86.05;56.52;36.94;74.91;47.86
Belgium;63.47;83.86;73.50;82.52;80.57;79.47;74.50;92.72;61.25;84.31;85.18;54.62
Belize;36.31;55.56;46.34;45.31;72.43;50.88;40.68;72.99;59.03;65.77;69.06;46.45
Benin;39.58;37.31;54.77;49.99;56.65;35.60;38.68;43.34;49.97;59.73;74.48;42.85
Bolivia;40.47;55.85;37.94;38.52;65.95;44.90;46.18;66.02;60.48;58.53;65.05;46.90
Bosnia and Herzegovina;48.03;65.32;40.73;39.45;70.05;56.96;52.20;84.04;49.08;60.71;78.44;51.49
Botswana;56.84;53.72;54.62;64.26;59.53;46.78;57.04;59.54;46.65;65.07;71.77;49.91
Brazil;47.95;59.27;47.83;51.80;72.02;54.91;56.18;80.42;67.83;66.96;61.25;48.44
Bulgaria;64.39;72.99;59.65;54.29;74.68;64.74;61.05;82.83;56.31;64.90;76.72;52.05
Burkina Faso;40.99;28.63;45.68;44.08;59.06;27.78;39.39;37.95;54.95;63.16;48.66;51.49
Burundi;28.57;34.17;49.28;28.56;57.84;27.88;35.50;29.17;53.81;32.04;39.74;45.12
Cabo Verde;37.27;55.37;50.42;60.30;71.88;39.84;45.10;66.54;55.02;72.33;81.50;53.43
Cambodia;51.78;44.05;41.93;24.40;71.22;48.13;41.49;53.21;54.92;39.08;66.50;53.14
Cameroon;42.68;43.79;42.94;29.28;50.71;34.66;35.64;46.15;52.19;40.12;35.08;48.77
Canada;61.94;87.83;77.29;85.19;78.37;77.64;74.84;92.54;68.11;88.19;88.37;67.63
Central African Republic;40.17;19.46;33.21;26.60;32.81;18.27;27.23;21.12;53.89;36.74;38.32;38.50
Chad;34.97;19.56;32.06;20.96;37.70;18.79;27.65;27.71;53.87;39.86;48.87;39.56
Chile;59.75;73.78;65.37;72.70;75.67;73.95;68.70;85.31;59.35;74.88;67.41;51.52
China;66.60;69.59;66.51;45.95;82.84;68.67;62.11;82.31;47.74;28.17;68.24;58.05
Colombia;48.21;64.30;50.87;49.88;78.75;59.73;57.18;73.44;64.31;62.24;37.23;50.31
Comoros;36.42;36.65;46.02;29.49;59.75;35.28;33.01;47.17;55.89;55.07;75.02;48.70
Congo;31.43;43.47;34.30;26.30;54.82;30.98;32.76;46.49;54.65;42.72;52.72;41.90
Costa Rica;52.88;73.43;61.91;68.65;78.39;66.31;59.95;81.11;68.13;83.06;77.15;53.01
Croatia;57.64;73.74;55.41;59.16;76.10;74.01;61.94;87.54;64.94;70.94;86.80;47.29
Cuba;41.17;70.10;33.35;35.68;79.04;47.60;47.35;74.51;55.03;33.74;65.90;59.31
Cyprus;60.13;78.47;68.05;69.12;79.08;74.81;63.38;88.58;61.59;76.82;79.88;49.96
Czechia;71.61;80.63;63.87;71.09;78.99;75.13;71.40;90.68;66.02;79.34;90.74;55.24
Côte d'Ivoire;47.32;37.52;50.32;44.01;53.47;41.79;44.87;50.92;54.03;54.18;58.11;45.73
Democratic Republic of Congo;32.47;32.44;34.28;23.32;48.65;23.07;25.41;32.81;53.44;42.72;32.60;40.06
Denmark;74.58;88.12;80.54;90.95;80.62;81.88;80.19;94.88;72.57;92.51;92.21;77.24
Djibouti;47.75;36.34;50.87;38.32;62.44;43.63;46.36;54.04;44.09;38.98;68.55;46.77
Dominican Republic;50.06;56.29;53.38;44.76;72.14;59.82;52.59;73.62;58.59;68.71;61.66;52.78
Ecuador;39.84;62.05;46.15;44.15;72.91;57.08;49.90;69.82;59.85;64.75;67.97;47.46
Egypt;38.46;51.84;56.05;32.90;67.18;56.26;48.12;71.49;44.12;26.61;43.56;44.68
El Salvador;42.50;49.24;52.81;48.70;69.69;56.82;52.01;69.91;46.97;62.38;58.56;49.24
Equatorial Guinea;48.40;44.83;35.17;26.63;50.48;37.16;36.50;60.40;60.28;33.42;66.98;55.20
Eritrea;32.05;28.16;33.89;19.32;57.50;22.84;30.55;30.09;50.80;19.29;52.54;38.65
Estonia;70.72;83.61;77.90;81.47;77.27;75.81;75.73;92.07;73.74;81.05;87.00;61.17
Eswatini;42.46;49.22;44.47;34.66;48.95;41.48;45.25;53.88;48.19;35.11;67.98;44.13
Ethiopia;42.48;30.62;41.53;39.20;59.81;30.93;34.14;41.40;51.26;42.32;46.91;52.47
Finland;69.45;88.05;78.31;91.04;81.41;81.70;80.44;93.52;77.20;90.80;88.62;74.94
France;64.43;81.87;74.52;80.50;80.50;80.88;75.34;91.35;69.45;79.07;82.58;55.59
Gabon;41.22;54.71;38.64;37.11;56.83;34.93;32.33;64.14;55.99;47.06;64.77;42.23
Georgia;48.31;70.15;59.46;58.19;71.34;62.98;63.84;74.45;50.15;64.67;68.83;55.04
Germany;73.61;82.62;77.96;86.75;81.12;83.32;76.57;95.16;69.32;86.64;88.19;65.54
Ghana;37.60;48.71;56.62;54.13;64.20;43.82;45.37;59.23;51.65;66.83;68.76;51.43
Greece;45.47;78.23;61.98;62.44;76.81;73.63;50.90;88.42;64.82;69.68;84.48;46.79
Guatemala;49.52;44.47;49.53;37.63;68.15;55.14;51.05;59.93;54.58;56.44;60.67;52.54
Guinea;32.04;26.64;55.19;38.24;50.42;30.59;43.08;37.99;55.77;48.08;59.83;49.22
Guinea-Bissau;33.33;23.73;36.40;33.35;51.24;27.51;29.60;31.08;54.13;52.68;78.70;49.20
Guyana;48.95;57.06;47.18;49.08;62.88;43.25;46.10;73.58;58.31;62.25;67.54;51.92
Haiti;36.52;42.33;24.86;24.82;52.66;27.40;28.51;41.66;46.03;51.70;59.59;39.68
Honduras;43.86;45.05;47.19;34.60;68.68;49.51;50.66;62.30;56.79;54.05;55.70;53.08
Hong Kong;76.49;86.54;87.48;78.88;81.28;84.32;81.23;91.02;62.65;63.82;88.79;51.75
Hungary;64.06;74.96;55.01;46.82;76.27;70.15;63.99;87.75;62.85;59.03;83.41;56.37
Iceland;69.39;85.11;72.05;85.51;82.25;79.11;74.55;93.21;68.41;88.10;92.23;71.51
India;47.04;46.41;61.44;57.35;67.07;57.63;55.10;54.02;40.98;51.75;50.67;53.35
Indonesia;55.66;60.58;58.51;52.63;72.68;60.55;58.86;64.77;55.07;53.24;68.52;66.27
Iran;37.59;63.85;35.22;30.85;74.75;46.87;39.80;76.57;42.68;21.84;54.94;51.62
Iraq;38.08;46.12;45.91;33.95;65.51;43.80;37.18;70.59;36.07;38.62;25.77;44.64
Ireland;75.43;85.50;76.62;83.40;79.55;75.99;73.77;92.11;69.34;89.08;90.29;64.53
Israel;68.24;81.65;74.32;79.08;82.84;72.83;76.52;91.50;52.65;65.12;62.29;56.35
Italy;55.87;79.51;71.12;64.21;81.09;75.92;65.57;90.60;61.21;78.82;87.01;53.03
Jamaica;44.34;60.19;57.57;57.28;74.87;57.17;58.91;78.86;49.45;74.41;60.64;50.55
Japan;65.79;85.54;79.45;81.25;86.63;82.25;78.12;93.21;68.57;74.84;92.73;44.27
Jordan;40.47;56.22;63.48;48.22;72.93;57.86;61.59;80.48;45.22;43.40;69.40;47.60
Kazakhstan;59.50;78.61;55.54;43.51;73.81;57.57;59.70;81.81;50.50;39.63;68.09;56.62
Kenya;45.12;49.55;56.32;45.44;64.62;48.02;54.78;47.72;48.76;54.27;46.04;52.50
Kuwait;57.21;64.04;57.42;45.46;76.87;63.93;56.24;87.77;47.62;44.37;77.13;55.79
Kyrgyzstan;44.73;61.89;49.37;41.98;73.40;44.20;48.40;75.65;55.18;53.49;72.43;53.00
Laos;47.33;50.91;48.62;35.06;64.56;47.46;36.79;56.79;57.36;31.82;74.52;50.36
Latvia;64.83;82.35;68.58;68.41;73.77;70.97;68.54;85.83;72.08;75.21;83.08;51.93
Lebanon;31.33;66.11;54.66;37.37;69.66;50.91;47.56;77.31;51.18;51.07;54.61;31.36
Lesotho;39.01;44.62;41.86;43.70;40.66;35.11;38.29;46.14;38.86;58.48;64.82;46.06
Liberia;36.17;24.77;46.58;42.22;49.08;23.67;36.94;41.43;57.86;54.12;63.36;53.17
Libya;37.87;50.29;25.03;22.98;67.45;36.81;22.51;70.32;41.37;40.46;28.70;47.01
Lithuania;63.44;81.79;68.87;70.19;74.08;72.55;69.54;86.64;68.70;73.10;82.98;49.31
Luxembourg;77.40;78.97;79.83;87.36;81.54;81.46;74.77;93.55;71.10;88.75;94.21;64.27
Madagascar;38.69;33.29;44.63;38.27;55.50;29.98;39.67;30.72;55.92;56.16;60.11;51.10
Malawi;37.78;30.62;48.89;47.44;60.54;34.31;45.97;36.14;56.41;57.21;63.88;39.97
Malaysia;64.73;74.57;71.13;58.59;76.96;71.84;71.95;78.25;59.37;46.46;71.64;61.54
Mali;39.36;24.89;43.78;40.52;54.43;29.47;36.67;43.72;52.00;56.09;34.71;43.25
Malta;70.73;78.41;72.02;75.87;81.66;72.99;65.83;92.87;53.13;84.08;88.06;63.70
Mauritania;36.97;28.06;34.99;27.98;58.01;26.20;30.32;52.28;39.74;39.17;66.15;50.97
Mauritius;52.53;67.42;64.21;64.49;72.39;66.75;67.85;80.38;52.25;69.91;80.35;57.73
Mexico;59.44;64.53;56.22;46.16;72.68;66.53;59.47;75.01;57.04;61.62;43.87;47.27
Moldova;46.48;68.91;52.15;45.90;72.33;57.09;52.50;78.73;49.03;57.88;69.95;56.67
Mongolia;46.29;70.32;49.96;51.14;67.72;42.02;45.97;65.11;45.48;63.95;74.71;55.67
Montenegro;48.63;71.88;59.77;55.71;70.61;62.82;60.48;83.28;52.64;67.53;81.22;57.53
Morocco;45.08;49.52;55.58;46.13;71.66;63.95;59.26;70.90;49.71;45.70;75.02;39.13
Mozambique;28.35;26.79;38.14;38.53;53.13;33.09;37.59;34.11;58.77;54.55;59.07;49.96
Myanmar;45.12;49.07;41.12;37.81;67.72;35.93;25.51;51.12;56.90;43.97;36.14;57.05
Namibia;40.25;48.87;56.14;59.79;59.94;49.32;53.11;55.98;55.07;65.82;74.66;51.44
Nepal;45.79;48.14;46.08;45.92;64.12;34.15;42.81;52.21;46.15;61.21;66.94;49.09
Netherlands;74.70;86.49;79.64;89.34;82.25;85.08;78.09;96.18;62.45;89.56;91.20;71.18
New Zealand;70.02;85.53;77.94;88.81;79.74;77.02;79.94;90.10;73.83;86.71;86.58;74.93
Nicaragua;40.89;46.28;42.05;29.91;72.96;46.28;45.66;65.79;58.68;49.26;62.03;50.77
Niger;38.89;19.69;45.85;39.22;54.11;22.84;38.94;32.46;51.56;56.25;48.63;56.37
Nigeria;33.59;35.68;46.52;36.40;49.12;32.89;45.23;46.14;50.17;51.88;38.56;50.10
North Macedonia;49.97;60.34;55.09;49.53;73.90;58.65;59.97;81.96;53.73;62.10;76.25;50.61
Norway;72.99;85.65;79.00;90.89;84.02;77.89;79.97;93.81;71.25;94.09;95.75;76.66
Oman;47.47;63.64;62.52;45.94;75.21;65.16;61.34;78.12;44.57;34.67;81.53;58.77
Pakistan;37.68;35.18;48.59;38.00;59.55;42.66;45.32;57.89;33.67;42.48;41.92;46.66
Panama;57.81;59.07;53.78;52.15;76.48;65.74;60.49;76.09;63.70;67.00;76.82;53.58
Papua New Guinea;39.81;34.81;48.23;39.67;54.22;34.21;44.63;32.30;56.59;61.81;62.26;52.32
Paraguay;49.67;50.78;43.49;44.27;71.43;50.15;52.34;76.23;63.01;61.89;71.96;54.61
Peru;52.72;66.75;57.43;50.87;76.39;57.70;58.99;68.30;63.96;66.71;66.62;43.26
Philippines;58.07;61.26;54.15;45.55;69.66;57.84;53.96;62.33;55.83;59.90;44.00;58.40
Poland;62.34;80.37;65.17;63.76;75.24;72.00;63.66;89.64;60.24;67.69;88.37;55.33
Portugal;58.62;77.97;71.13;76.73;77.62;77.87;69.91;92.17;62.33;86.01;86.24;53.88
Qatar;64.47;69.36;75.33;52.63;77.61;72.38;63.75;84.60;50.28;35.71;88.80;61.07
Romania;60.27;66.92;57.62;55.61;74.73;67.41;64.68;81.56;60.94;70.26;84.15;48.91
Russia;62.57;82.78;54.96;41.42;71.64;63.09;54.38;79.45;56.07;40.38;50.99;54.01
Rwanda;48.70;40.94;65.00;55.86;65.25;46.47;64.14;40.49;51.82;44.63;58.38;53.17
Saudi Arabia;51.79;67.18;65.95;44.58;74.49;69.32;59.40;77.55;46.07;25.80;63.72;57.25
Senegal;39.64;34.94;53.89;53.80;63.41;41.59;46.27;53.39;55.25;63.70;68.66;56.05
Serbia;52.89;72.67;52.91;46.90;73.31;62.32;58.78;84.79;49.53;61.04;80.31;52.15
Seychelles;49.17;66.83;61.06;59.58;77.76;61.35;58.87;77.62;59.07;61.81;75.27;57.30
Sierra Leone;32.64;31.98;41.40;41.50;48.41;22.13;32.90;36.10;53.53;57.15;63.96;53.44
Singapore;75.39;91.27;83.19;75.30;86.12;87.96;86.43;94.22;55.01;53.39;92.18;68.15
Slovakia;62.44;71.97;60.16;63.21;76.99;70.07;70.56;87.83;67.86;75.46;84.43;55.76
Slovenia;63.06;83.11;68.64;68.07;80.18;75.78;68.21;91.24;75.37;75.19;89.90;58.37
Somalia;25.48;36.25;33.32;19.67;43.26;28.55;33.15;35.56;47.78;36.47;34.36;46.94
South Africa;49.59;49.82;57.76;58.90;56.56;56.09;57.93;65.73;46.12;73.13;51.02;57.60
South Korea;73.81;88.34;63.40;71.69;84.06;79.24;75.72;91.26;58.43;69.73;82.60;43.98
South Sudan;32.18;15.30;37.72;17.77;35.54;22.11;31.43;22.93;50.45;26.77;16.00;36.17
Spain;56.32;82.56;70.17;76.62;80.48;81.18;72.77;92.11;62.23;84.85;86.39;59.62
Sri Lanka;41.64;65.23;54.39;48.66;77.31;52.91;46.71;67.25;58.10;54.71;55.44;55.83
Sudan;22.68;32.92;41.41;22.59;60.93;31.08;36.85;47.16;40.78;31.67;32.06;43.66
Suriname;43.55;52.32;45.42;46.33;63.95;51.21;36.54;75.98;66.43;66.90;75.42;53.26
Sweden;74.68;85.27;77.90;88.52;82.08;83.11;78.14;94.10;77.98;91.85;91.16;72.56
Switzerland;79.27;86.37;83.38;88.18;81.49;81.06;77.01;93.81;73.05;86.82;95.43;68.81
Syria;40.38;42.38;29.86;18.96;67.10;35.21;34.90;67.28;41.85;20.04;24.48;22.64
São Tomé and Príncipe;48.11;48.78;48.41;50.67;70.49;41.43;39.18;56.38;55.28;67.81;78.79;51.19
Taiwan, China;70.97;84.95;78.87;78.96;83.43;75.09;76.94;89.10;55.18;78.67;93.00;57.67
Tajikistan;43.08;61.21;51.58;32.64;71.53;37.00;43.96;68.36;46.18;34.66;69.33;63.02
Tanzania;47.02;39.40;49.28;45.29;60.82;38.39;45.06;47.67;56.75;47.64;63.40;53.72
Thailand;64.15;63.61;56.13;41.92;79.37;67.30;60.64;75.32;51.20;45.78;60.38;60.37
The Gambia;34.24;37.69;52.66;49.81;56.13;34.76;46.18;53.48;55.94;53.65;69.13;57.30
Togo;36.44;40.76;46.45;35.17;54.86;31.46;39.22;42.88;49.40;52.54;64.52;38.76
Trinidad and Tobago;49.10;66.01;46.49;56.49;74.12;61.33;52.29;82.43;53.83;70.19;70.03;50.15
Tunisia;41.43;56.49;54.07;53.96;71.39;54.92;48.31;77.15;46.97;55.44;58.90;40.31
Turkey;51.97;62.93;58.86;37.55;75.09;64.92;59.39;81.06;54.46;33.02;44.09;44.78
Turkmenistan;51.53;62.07;38.98;24.37;74.90;41.73;45.67;78.00;42.57;26.11;71.76;66.82
Uganda;41.37;39.02;51.29;38.47;58.17;37.47;52.00;44.85;50.77;44.85;54.48;48.64
Ukraine;48.78;77.74;55.73;48.47;68.66;58.47;42.58;76.54;52.36;61.23;52.99;50.71
United Arab Emirates;64.13;73.61;75.03;60.69;77.81;77.04;70.63;83.95;50.74;36.39;77.75;59.92
United Kingdom;69.91;84.99;78.14;83.53;78.81;82.06;79.43;93.40;67.13;85.06;88.69;64.02
United States;70.03;83.21;81.14;78.70;73.95;83.68;76.59;90.69;67.06;81.30;72.11;67.32
Uruguay;54.00;71.60;57.52;73.72;78.06;61.62;63.84;85.33;59.61;85.18;78.49;59.91
Uzbekistan;48.53;62.65;49.37;33.30;76.28;48.59;50.48;66.29;40.30;34.00;76.23;60.96
Venezuela;27.48;61.67;19.88;12.41;70.48;38.96;27.89;68.82;57.61;40.63;41.40;44.20
Vietnam;58.06;66.64;54.55;44.33;76.48;62.96;44.92;71.84;52.71;40.10;67.71;63.94
Yemen;26.05;28.72;34.39;17.41;57.02;28.35;27.49;44.57;45.34;22.95;26.48;41.20
Zambia;29.40;40.70;51.58;43.27;59.82;35.09;46.19;43.28;59.23;48.79;66.36;51.73
Zimbabwe;35.83;52.28;36.63;30.43;54.80;34.66;36.84;46.15;49.41;39.35;61.41;45.62
